"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","2000-08-10T00:00:00Z","Panama - Second Basic Education Project","P052021","http://documents.worldbank.org/curated/en/624541468775151432/text/multi-page.txt",NA,"20334",NA,"PA-Basic Education II -- P052021","693396",2,0,0,2000,175828,1,1,0,NA,NA,NA
"Project Appraisal Document","1999-02-01T00:00:00Z","China - Accounting Reform and Development Project","P051856","http://documents.worldbank.org/curated/en/115411468770442899/text/multi-page.txt","http://documents.worldbank.org/curated/en/115411468770442899/pdf/multi-page.pdf","18312","IBRD/IDA","CN-Accounting Reform & Development -- P051856","438877",0,0,0,1999,4,1,0,0,NA,NA,NA
"Project Appraisal Document","2001-11-14T00:00:00Z","Vietnam - Primary Teacher Development Project","P051838","http://documents.worldbank.org/curated/en/828591468782352998/text/multi0page.txt",NA,"20276",NA,"VN-Primary Teacher Development -- P051838","1637769",0,0,0,2001,225296,1,0,0,NA,NA,NA
"Project Appraisal Document","2004-05-18T00:00:00Z","Colombia - Peace and Development (APL) Project","P051306","http://documents.worldbank.org/curated/en/878591468770447015/text/28656.txt",NA,"28656","IBRD/IDA","CO-Peace And Development Project (1st Phase
            Apl) -- P051306","3655718",0,0,0,2004,202367,0,0,0,NA,NA,NA
"Project Appraisal Document","2000-05-30T00:00:00Z","Tunisia - Education Quality Improvement Program (EQIP) Project","P050945","http://documents.worldbank.org/curated/en/794141468761375158/text/multi-page.txt",NA,"20467",NA,"TN-Education Quality Improvement Program
            (Eqip) -- P050945","437413",0,0,0,2000,204884,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-05-30T00:00:00Z","Tunisie – Programme d’amélioration de la qualité du système éducatif tunisien (PAQSET) : République tunisienne - Projet du programme d’amélioration de la qualité du système éducatif (PAQSET) - Première Phase","P050945","http://documents.worldbank.org/curated/en/783971468760571664/text/204670FRENCH0PAD.txt",NA,"20467",NA,"TN-Education Quality Improvement Program
            (Eqip) -- P050945","4963155",0,0,0,2000,224696,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-06-08T00:00:00Z","Brazil - Second School Improvement Project (FUNDESCOLA II)","P050763","http://documents.worldbank.org/curated/en/516821468769865297/text/multi-page.txt",NA,"19228",NA,"BR-Second School Improvement Project -- P050763","441017",0,0,0,1999,348334,1,0,0,NA,NA,NA
"Project Appraisal Document","2001-01-25T00:00:00Z","Bangladesh - Post-Literacy and Continuing Education for Human Development Project","P050752","http://documents.worldbank.org/curated/en/127591468767997175/text/multi-page.txt","http://documents.worldbank.org/curated/en/127591468767997175/pdf/multi-page.pdf","20914","IBRD/IDA","BD-Post-Literacy And Continuing Education
            For Human Development Pr -- P050752","891710",0,0,0,2001,249043,1,0,0,NA,NA,NA
"Project Appraisal Document","2003-05-12T00:00:00Z","Sri Lanka - Improving Relevance and Quality of Undergraduate Education","P050741","http://documents.worldbank.org/curated/en/815441468777043559/text/25386.txt",NA,"25386","IBRD/IDA","LK-Improving Relevance And Quality Of
            Undergraduate Education -- P050741","2353688",0,0,0,2003,244479,1,0,0,NA,NA,NA
"Project Appraisal Document","1998-03-12T00:00:00Z","Argentina - Third Secondary Education Project","P050714","http://documents.worldbank.org/curated/en/481051468741668967/text/multi-page.txt",NA,"17498",NA,"AR-Secondary Education 3 -- P050714","693663",0,0,0,1998,141914,1,0,0,NA,NA,NA
